title,artists
Flowers,Miley Cyrus
Last Night,Morgan Wallen
Fast Car,Luke Combs
Like Crazy (Deep House Remix),Jimin
Like Crazy (UK Garage Remix),Jimin
Calm Down,Rema & Selena Gomez
Like Crazy (Instrumental),Jimin
Heart Like A Truck,Lainey Wilson
Justice for All,Donald J. Trump & J6 Prison Choir
Eyes Closed,Ed Sheeran
Like Crazy (English Version),Jimin
Like Crazy,Jimin
Fighting Myself,LINKIN PARK
You Say,Lauren Daigle
Anti-Hero,Taylor Swift
Thinkin’ Bout Me,Morgan Wallen
Thought You Should Know,Morgan Wallen
Players,Coi Leray
Growin' Up and Gettin' Old,Luke Combs
labour,Paris Paloma
5 Leaf Clover,Luke Combs
Love You Anyway,Luke Combs
Thank God,Kane Brown & Katelyn Brown
God's Country,Blake Shelton
TRUSTFALL,P!nk
Here Without You,3 Doors Down
Thank God I Do,Lauren Daigle
Rock and a Hard Place,Bailey Zimmerman
wait in the truck,HARDY & Lainey Wilson
Unstoppable,Sia
Kill Bill,SZA
Favorite Song,Toosii
I Ain't Worried,OneRepublic
More Than Able (feat. Chandler Moore & Tiffany Hudson),Elevation Worship
End of the World,Tom MacDonald & John Rich
Rescue,Lauren Daigle
Eyes Closed (Piano Version),Ed Sheeran
In Jesus Name (God Of Possible),Katy Nichole
Wasted On You,Morgan Wallen
As It Was,Harry Styles
All Of The Girls You Loved Before,Taylor Swift
This Is Our God,Phil Wickham
NEED A FAVOR,Jelly Roll
Sure Thing,Miguel
Eyes Closed,Ed Sheeran
BESO,ROSALÍA & Rauw Alejandro
Something in the Orange (Z&E's Version),Zach Bryan
You Proof,Morgan Wallen
Look At Us Now (Honeycomb),Daisy Jones & The Six
You Raise Me Up,Josh Groban
Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna
Face-off,Jimin
Gratitude,Brandon Lake
Bonjour,Zoey Dollaz
Son Of A Sinner,Jelly Roll
Hold My Hand,Lady Gaga
"Set Me Free, Pt. 2",Jimin
Lost,LINKIN PARK
Tennessee Whiskey,Chris Stapleton
Chasin' You,Morgan Wallen
Alone,Jimin
TQG,KAROL G & Shakira
ICU,Coco Jones
"Boy's a liar, Pt. 2",PinkPantheress & Ice Spice
Bright Eyes,Timcast
God Is In This Story,Katy Nichole & Big Daddy Weave
Unholy,Sam Smith & Kim Petras
One Thing At A Time,Morgan Wallen
Made You Look,Meghan Trainor
Escapism.,RAYE & 070 Shake
Rainbowland (feat. Dolly Parton),Miley Cyrus
10:35,Tiësto & Tate McRae
Mother,Meghan Trainor
God Gave Me You,Blake Shelton
I'm Good (Blue),David Guetta & Bebe Rexha
She Had Me At Heads Carolina,Cole Swindell
Hold On To Me,Lauren Daigle
Dancin’ In The Country,Tyler Hubbard
Bloody Mary,Lady Gaga
Human,Cody Johnson
"Forever and Ever, Amen",Randy Travis
I Wrote The Book,Morgan Wallen
Interlude : Dive,Jimin
golden hour,JVKE
What He Didn't Do,Carly Pearce
Handle On You,Parker McCollum
Cowgirls (feat. ERNEST),Morgan Wallen
Change the World,Eric Clapton
Everywhere,Fleetwood Mac
Lavender Haze,Taylor Swift
Shivers,Ed Sheeran
Die For You (Remix),The Weeknd & Ariana Grande
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Just Pretend,Bad Omens
Heaven,Niall Horan
"Going, Going, Gone",Luke Combs
Calm Down,Rema
Heart Attack (Rock Version),Demi Lovato
Tennessee Orange,Megan Moroney
Let Me Down Easy,Daisy Jones & The Six
